Model,Overall,Crema,Ravdess,Savee,Tess
ResoNet,0.8215,0.7604,0.8208,0.4722,1.0000
NoAttentionResoNet,0.6417,0.5123,0.5292,0.4722,0.9857
NoGRUResoNet,0.4897,0.4459,0.2792,0.2500,0.7357
NoResNetResoNet,0.3001,0.2875,0.2292,0.2222,0.3786
SimpleCNN,0.1831,0.1388,0.1667,0.1111,0.2905
CNNLSTM,0.4094,0.3980,0.2833,0.2361,0.5333
Wav2Vec2,0.8195,0.7531,0.7542,0.7361,1.0000
